

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines

000.004  000.004: --- NVIM STARTING ---
000.082  000.077: event init
000.189  000.108: early init
000.503  000.314: locale set
000.551  000.048: init first window
000.856  000.305: inits 1
000.873  000.017: window checked
000.875  000.002: parsing arguments
001.258  000.065  000.065: require('vim.shared')
001.345  000.029  000.029: require('vim._meta')
001.347  000.087  000.057: require('vim._editor')
001.348  000.183  000.032: require('vim._init_packages')
001.350  000.292: init lua interpreter
003.137  001.788: expanding arguments
003.183  000.046: inits 2
003.448  000.264: init highlight
003.449  000.001: waiting for UI
003.578  000.129: done waiting for UI
003.587  000.009: clear screen
003.715  000.127: init default mappings
003.730  000.015: init default autocommands
005.757  000.092  000.092: sourcing /opt/homebrew/Cellar/neovim/HEAD-5f3b76d/share/nvim/runtime/ftplugin.vim
006.114  000.048  000.048: sourcing /opt/homebrew/Cellar/neovim/HEAD-5f3b76d/share/nvim/runtime/indent.vim
010.079  000.310  000.310: require('packer.util')
010.117  002.999  002.689: require('packer')
010.441  000.320  000.320: require('packer.log')
011.110  000.210  000.210: require('packer.async')
011.515  000.159  000.159: require('packer.result')
011.518  000.406  000.247: require('packer.jobs')
011.522  001.054  000.438: require('packer.plugin_utils')
011.778  000.244  000.244: require('packer.snapshot')
012.016  005.544  000.927: require('plugins')
016.972  004.955  004.955: require('impatient')
017.134  000.155  000.155: require('user.colorschemes.kanagawa_config')
017.394  000.071  000.071: require('kanagawa')
017.452  000.051  000.051: require('kanagawa.colors')
017.690  000.060  000.060: require('kanagawa.hsluv')
017.692  000.173  000.113: require('kanagawa.color')
017.694  000.232  000.058: require('kanagawa.themes')
017.835  000.130  000.130: require('kanagawa.hlgroups')
018.232  000.920  000.437: sourcing /Users/frbarnes/.local/share/nvim/site/pack/packer/start/kanagawa.nvim/colors/kanagawa.vim
018.402  000.004  000.004: require('vim.F')
018.411  000.088  000.084: require('alpha')
018.548  000.137  000.137: require('alpha.themes.startify')
018.976  000.073  000.073: require('lualine_require')
019.262  000.494  000.421: require('lualine')
023.117  000.063  000.063: require('lualine.utils.mode')
023.207  004.611  004.053: require('user.ui.lualine_config')
023.446  000.047  000.047: require('tabby.module.log')
023.499  000.052  000.052: require('tabby.module.highlight')
023.503  000.177  000.079: require('tabby.module.render')
023.606  000.063  000.063: require('tabby.module.api')
023.679  000.072  000.072: require('tabby.feature.tabwins')
023.680  000.177  000.042: require('tabby.feature.lines')
023.683  000.408  000.054: require('tabby.tabline')
023.717  000.509  000.100: require('user.ui.tabby_config')
024.602  000.046  000.046: require('nvim-tree.iterators.node-iterator')
024.610  000.489  000.443: require('nvim-tree.utils')
024.613  000.535  000.047: require('nvim-tree.events')
024.745  000.040  000.040: require('nvim-tree.log')
024.862  000.116  000.116: require('nvim-tree.git.utils')
