

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines

000.003  000.003: --- NVIM STARTING ---
000.071  000.068: event init
000.163  000.092: early init
000.421  000.258: locale set
000.467  000.046: init first window
000.667  000.200: inits 1
000.679  000.013: window checked
000.681  000.001: parsing arguments
000.991  000.052  000.052: require('vim.shared')
001.062  000.025  000.025: require('vim._meta')
001.064  000.071  000.046: require('vim._editor')
001.065  000.147  000.024: require('vim._init_packages')
001.066  000.238: init lua interpreter
003.021  001.955: expanding arguments
003.063  000.041: inits 2
003.318  000.255: init highlight
003.320  000.002: waiting for UI
003.449  000.129: done waiting for UI
003.456  000.008: clear screen
003.590  000.134: init default mappings
003.607  000.017: init default autocommands
005.615  000.089  000.089: sourcing /opt/homebrew/Cellar/neovim/HEAD-5f3b76d/share/nvim/runtime/ftplugin.vim
005.926  000.062  000.062: sourcing /opt/homebrew/Cellar/neovim/HEAD-5f3b76d/share/nvim/runtime/indent.vim
009.391  000.263  000.263: require('packer.util')
009.427  002.583  002.319: require('packer')
009.761  000.333  000.333: require('packer.log')
010.382  000.206  000.206: require('packer.async')
010.757  000.146  000.146: require('packer.result')
010.759  000.376  000.230: require('packer.jobs')
010.763  000.975  000.393: require('packer.plugin_utils')
011.002  000.226  000.226: require('packer.snapshot')
011.221  004.963  000.846: require('plugins')
016.454  005.231  005.231: require('impatient')
016.730  000.111  000.111: require('catppuccin')
017.033  000.062  000.062: require('catppuccin.lib.hashing')
017.128  000.672  000.499: require('user.colorschemes.catppuccin_config')
017.621  000.393  000.393: sourcing /Users/frbarnes/.local/share/nvim/site/pack/packer/start/catppuccin/colors/catppuccin.vim
017.770  000.003  000.003: require('vim.F')
017.777  000.079  000.075: require('alpha')
017.869  000.091  000.091: require('alpha.themes.startify')
018.114  000.067  000.067: require('lualine_require')
018.490  000.524  000.457: require('lualine')
019.814  000.137  000.137: require('catppuccin.palettes')
019.902  000.086  000.086: require('catppuccin.palettes.mocha')
020.774  000.068  000.068: require('lualine.utils.mode')
022.724  004.830  004.015: require('user.ui.lualine_config')
023.067  000.068  000.068: require('tabby.module.log')
023.132  000.064  000.064: require('tabby.module.highlight')
023.136  000.193  000.061: require('tabby.module.render')
023.232  000.049  000.049: require('tabby.module.api')
023.318  000.085  000.085: require('tabby.feature.tabwins')
023.320  000.183  000.049: require('tabby.feature.lines')
023.322  000.472  000.096: require('tabby.tabline')
023.354  000.628  000.156: require('user.ui.tabby_config')
024.414  000.060  000.060: require('nvim-tree.iterators.node-iterator')
024.424  000.529  000.469: require('nvim-tree.utils')
024.427  000.584  000.055: require('nvim-tree.events')
024.627  000.048  000.048: require('nvim-tree.log')
024.725  000.098  000.098: require('nvim-tree.git.utils')
024.774  000.048  000.048: require('nvim-tree.git.runner')
024.824  000.049  000.049: require('nvim-tree.watcher')
024.827  000.323  000.082: require('nvim-tree.git')
024.872  000.044  000.044: require('nvim-tree.explorer.watch')
024.916  000.043  000.043: require('nvim-tree.explorer.common')
